network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,17.08,1894,manual,0.5,8556349,58:50.9,0.47,33.7496,-117.4938,1.1119,107.466,4.6403,0.45,,3.6,ml,,,0.92,102.09,159.3,"[56.79999923706055, 55.400001525878906, 47.400001525878906]",2896,59:01.0,earthquake_local,109C.TA_20060723155859_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.5,16.88,1763,manual,0.5,8860238,56:42.7,0.24,32.7077,-116.0446,0.899,37.593,2.9542,9.2,,4.3,mb,,,0.91,101.34,281.7,"[65.0, 65.5, 61.400001525878906]",5508,56:53.6,earthquake_local,109C.TA_20061103155652_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.5,17.26,1678,manual,0.5,8940123,12:12.4,0.27,32.7253,-116.0348,0.8127,48.096,3.0397,12.66,,3.6,ml,,,0.92,101.87,280.5,"[37.20000076293945, 42.0, 38.599998474121094]",3114,12:24.7,earthquake_local,109C.TA_20061103161223_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.28,2086,manual,0.5,9443190,32:14.3,0.25,32.7063,-116.0241,0.9173,43.783,2.6112,11.5,,3.8,ml,,,0.93,103.26,281.6,"[54.099998474121094, 54.900001525878906, 45.5]",3152,32:22.5,earthquake_local,109C.TA_20061114133221_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,18.14,1897,manual,0.5,9443449,46:29.9,0.67,31.9679,-117.1944,1.0362,182.145,5.6607,7.26,,3.6,ml,,,0.92,102.48,4.7,"[58.20000076293945, 56.20000076293945, 53.79999923706055]",3134,46:41.1,earthquake_local,109C.TA_20061127104640_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,18.02,1953,manual,0.5,9084303,17:35.1,0.26,32.8312,-115.9603,0.7948,44.55,2.6052,9.73,,3.8,ml,,,0.96,107.34,273.7,"[55.099998474121094, 51.70000076293945, 45.900001525878906]",2754,17:46.1,earthquake_local,109C.TA_20061129121745_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.87,2184,manual,0.5,9084320,10:55.0,0.3,32.8297,-115.9531,0.9905,45.342,2.948,2.1,,4.1,ml,,,0.97,108.03,273.8,"[55.0, 56.099998474121094, 43.20000076293945]",3199,11:03.9,earthquake_local,109C.TA_20061129211102_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.5,18,2038,manual,0.5,9443502,12:52.1,0.37,32.8261,-115.9481,0.6943,103.739,4.0952,7.31,,3.6,ml,,,0.98,108.52,274,"[33.099998474121094, 33.400001525878906, 25.700000762939453]",3199,13:02.1,earthquake_local,109C.TA_20061129211301_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.5,17.98,2062,manual,0.5,9443508,15:38.6,0.27,32.8327,-115.9672,0.9011,44.847,2.4481,2.06,,3.9,ml,,,0.96,106.69,273.7,"[49.0, 48.0, 39.20000076293945]",5252,15:48.6,earthquake_local,109C.TA_20061129221547_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.5,17.18,1777,manual,0.5,10382234,01:55.0,0.29,32.7154,-116.0344,0.6401,48.945,3.3538,12.6,,3.1,ml,,,0.92,102.11,281.1,"[41.79999923706055, 40.599998474121094, 33.29999923706055]",2964,02:06.2,earthquake_local,109C.TA_20070109140205_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.5,12.9,1416,manual,0.5,10388635,07:47.1,0.46,32.9898,-116.303,0.6586,128.303,4.9956,8.72,,3.7,ml,,,0.68,75.84,261.7,"[45.0, 49.900001525878906, 41.79999923706055]",2663,07:55.0,earthquake_local,109C.TA_20070117160753_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,16.8,2041,manual,0.5,11499016,33:42.8,0.24,33.2446,-116.1336,1.115,27.81,2.2574,8.38,,4.2,ml,,,0.89,98.93,246.8,"[65.0, 68.19999694824219, 58.70000076293945]",2866,33:50.6,earthquake_local,109C.TA_20070209033349_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.5,17.93,1642,manual,0.5,11510554,18:20.1,0.35,32.6571,-116.0002,0.9153,61.622,3.9212,8.77,0.77,2.9,ml,,,0.96,106.66,284.2,"[28.100000381469727, 24.899999618530273, 27.600000381469727]",2951,18:34.0,earthquake_local,109C.TA_20070226181833_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,18.41,2198,manual,0.5,11688454,37:44.2,0.29,33.2297,-116.0053,0.6974,43.866,2.5153,6.41,,3.3,ml,,,0.98,109.44,250.1,"[43.900001525878906, 42.099998474121094, 35.70000076293945]",3022,37:53.6,earthquake_local,109C.TA_20070301143752_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.5,16.32,1523,manual,0.5,11691332,33:29.1,1.02,32.067,-117.4297,0.9094,208.944,8.4779,9.28,,2.8,ml,,,0.86,96.12,18.4,"[47.20000076293945, 46.099998474121094, 38.599998474121094]",2580,33:41.4,earthquake_local,109C.TA_20070306033340_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.16,2092,autopicker,0.5,11926498,57:25.8,0.25,32.7322,-116.0594,1.0571,36.929,2.6497,6.61,,4.3,ml,,,0.89,99.46,280.3,"[60.099998474121094, 64.80000305175781, 53.400001525878906]",5848,57:33.9,earthquake_local,109C.TA_20070415225732_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.5,16.91,1987,manual,0.5,11926636,45:24.0,0.32,32.7098,-116.0362,0.9791,48.054,3.5849,12.66,,2.7,ml,,,0.92,102.07,281.5,"[34.20000076293945, 31.399999618530273, 33.099998474121094]",3022,45:32.9,earthquake_local,109C.TA_20070416034531_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.11,2079,manual,0.5,11928303,33:37.1,0.3,32.6944,-116.0417,0.7328,38.102,3.1774,13.3,,2.8,ml,,,0.92,101.92,282.5,"[38.400001525878906, 37.0, 37.5]",3166,33:45.2,earthquake_local,109C.TA_20070418093344_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,13.35,1618,manual,0.5,11928726,23:11.3,0.34,33.4264,-116.5825,0.9568,53.76,3.0473,9.18,,3.5,ml,,,0.69,77.01,219.4,"[53.79999923706055, 52.0, 45.5]",2386,23:17.7,earthquake_local,109C.TA_20070418222316_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,17.35,1858,manual,0.5,11929132,33:30.9,0.34,32.732,-116.0314,1.1683,99.396,3.2296,2.03,,2.9,ml,,,0.92,102.05,280.1,"[32.29999923706055, 32.599998474121094, 28.200000762939453]",3100,33:41.3,earthquake_local,109C.TA_20070419113340_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,16.99,2074,manual,0.5,11929148,01:23.0,0.29,32.7084,-116.0541,1.0655,54.707,3.2223,10.1,,2.9,ml,,,0.9,100.46,281.8,"[27.0, 30.799999237060547, 22.399999618530273]",3100,01:31.0,earthquake_local,109C.TA_20070419120129_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.5,17,1973,manual,0.5,12662876,35:28.8,0.27,32.6901,-116.0309,0.9893,49.819,2.7369,11.84,,3.3,ml,,,0.93,103.01,282.6,"[52.900001525878906, 55.900001525878906, 46.900001525878906]",2705,35:37.8,earthquake_local,109C.TA_20070525113536_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.05,2072,manual,0.5,12662884,47:59.6,0.29,32.7008,-116.0355,0.9494,47.934,3.0123,13.47,,3,ml,,,0.92,102.34,282,"[37.900001525878906, 42.599998474121094, 37.900001525878906]",2960,48:07.6,earthquake_local,109C.TA_20070525114806_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.58,12.94,1515,manual,0.62,ci14296868,13:05.9,nan,33.4551667,-116.5946667,0.24,48,0.24,11.31,0.45,1.57,ml,CI,,0.7087,78.81,37.2,"[20.200000762939453, 21.399999618530273, 18.600000381469727]",2185,13:12.8,earthquake_local,109C.TA_20070608061311_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.6,9.47,1337,manual,0.6,ci14297160,29:26.4,nan,32.5163333,-116.735,0.14,226,0.54,3.25,0.42,1.35,ml,CI,,0.4852,53.96,140.2,"[11.0, 11.399999618530273, 6.699999809265137]",3199,29:28.9,earthquake_local,109C.TA_20070609212927_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.53,17.37,2060,manual,0.53,ci14297236,46:52.9,nan,33.2435,-116.0363333,0.3,25,0.28,6.02,1.38,2.17,ml,CI,,0.9646,107.27,68.7,"[25.299999237060547, 31.0, 25.399999618530273]",3100,47:02.3,earthquake_local,109C.TA_20070610114701_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.53,17.62,1947,manual,0.53,ci14297248,51:13.4,nan,33.2425,-116.0395,0.39,40,0.4,3.54,1.13,1.67,ml,CI,,0.9618,106.96,68.7,"[17.799999237060547, 20.799999237060547, 21.299999237060547]",3100,51:24.1,earthquake_local,109C.TA_20070610115123_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.53,16.97,1925,manual,0.58,ci14297312,42:34.9,nan,32.699,-116.0515,0.33,112,0.4,8.44,1.13,1.85,ml,CI,,0.9074,100.91,102.4,"[15.399999618530273, 20.100000381469727, 17.399999618530273]",2829,42:43.9,earthquake_local,109C.TA_20070610234242_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.59,13.23,1738,manual,0.63,ci14297660,08:52.4,nan,33.241,-116.355,0.25,40,0.26,12.87,0.48,1.47,ml,CI,,0.7211,80.2,61,"[15.899999618530273, 19.299999237060547, 10.0]",2468,08:57.6,earthquake_local,109C.TA_20070612100856_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.5,18.19,1877,manual,0.5,12678959,06:35.0,0.62,32.7329,-118.2282,1.0702,185.256,4.4413,6.77,,3.4,ml,,,0.96,106.59,80.4,"[42.5, 38.70000076293945, 41.0]",3199,06:47.2,earthquake_local,109C.TA_20070613030646_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.52,17.47,2132,manual,0.52,ci10255269,31:30.8,nan,33.1518333,-116.0028333,0.28,51,0.29,13.19,0.75,2.18,ml,CI,,0.9625,107.04,74.4,"[20.299999237060547, 21.700000762939453, 17.5]",3199,31:39.3,earthquake_local,109C.TA_20070616163138_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.64,7.56,1367,manual,0.64,ci10255481,31:08.7,nan,32.7946667,-116.6596667,0.25,81,0.28,15.96,1.1,2.03,ml,CI,,0.3866,42.99,104.3,"[32.400001525878906, 35.599998474121094, 34.5]",1860,31:08.3,earthquake_local,109C.TA_20070617203107_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.57,15.79,1632,manual,0.57,ci10257241,02:18.0,nan,32.675,-116.098,0.26,89,0.5,8.38,1.04,1.41,ml,CI,,0.8748,97.28,104.5,"[9.100000381469727, 11.199999809265137, 12.0]",3199,02:28.8,earthquake_local,109C.TA_20070623050227_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.5,17.64,2189,manual,0.5,12688988,04:07.4,0.42,31.9584,-116.7119,1.1272,132.853,5.1749,9.69,,3.2,mw,,,0.99,109.61,340.4,"[46.0, 52.29999923706055, 46.79999923706055]",2879,04:16.0,earthquake_local,109C.TA_20070627010414_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,17.22,1875,manual,0.5,12690608,54:58.8,0.34,32.7135,-116.0414,0.7497,48.37,4.1317,12.85,,2.6,ml,,,0.91,101.51,281.3,"[20.899999618530273, 22.600000381469727, 18.899999618530273]",3147,55:09.0,earthquake_local,109C.TA_20070628195508_EV
TA,109C,BH,32.8889,-117.1051,150,500,manual,0.68,13.73,1567,manual,0.67,ci10258849,24:35.0,nan,32.6376667,-117.9336667,0.86,217,3.85,17.16,,2.08,ml,CI,,0.7417,82.49,249.9,"[20.399999618530273, 24.200000762939453, 15.699999809265137]",2957,24:43.7,earthquake_local,109C.TA_20070630182442_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.64,6.24,833,manual,0.7,ci10259305,46:55.8,nan,32.816,-117.4581667,0.23,274,0.77,17.06,1.26,1.91,ml,CI,,0.3059,34.02,256.1,"[18.700000762939453, 23.399999618530273, 20.399999618530273]",2371,46:58.1,earthquake_local,109C.TA_20070703234657_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.62,7.1,1319,manual,0.62,ci10259597,50:39.3,nan,32.5311667,-117.2338333,0.19,285,0.56,13.76,0.68,1.83,ml,CI,,0.3729,41.47,196.8,"[25.399999618530273, 24.200000762939453, 16.299999237060547]",2529,50:38.4,earthquake_local,109C.TA_20070705115037_EV
TA,109C,BH,32.8889,-117.1051,150,900,manual,0.62,10.16,1630,manual,0.62,ci10259993,29:00.3,nan,33.0088333,-116.469,0.21,80,0.32,9.66,1.26,1.86,ml,CI,,0.5481,60.95,77.5,"[18.399999618530273, 22.0, 16.600000381469727]",2261,29:01.5,earthquake_local,109C.TA_20070706182900_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,8.51,1295,manual,0.5,12763676,32:53.7,0.81,32.5202,-117.3092,0.4463,166.898,7.4666,14.18,,2.7,ml,,,0.41,45.15,25,"[32.5, 32.5, 26.399999618530273]",2619,32:55.3,earthquake_local,109C.TA_20070706203254_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.62,13.03,1353,manual,0.58,ci10260661,59:03.2,nan,32.9521667,-116.256,0.26,58,0.28,11.16,0.81,1.68,ml,CI,,0.7169,79.73,85.2,"[16.899999618530273, 14.5, 8.699999809265137]",3199,59:12.2,earthquake_local,109C.TA_20070710115911_EV
TA,109C,BH,32.8889,-117.1051,150,600,manual,0.61,10.15,1338,manual,0.61,ci10263337,25:45.9,nan,33.4106667,-116.8756667,0.24,37,0.26,4.48,1.76,2.24,ml,CI,,0.5548,61.7,20.3,"[21.799999237060547, 23.799999237060547, 15.100000381469727]",2599,25:50.1,earthquake_local,109C.TA_20070718142549_EV
TA,109C,BH,32.8889,-117.1051,150,700,manual,0.5,17.07,1830,manual,0.5,12777192,29:25.7,0.29,32.7329,-116.0405,0.8738,32.831,3.059,11.29,,2.8,ml,,,0.91,101.19,280.1,"[33.20000076293945, 35.79999923706055, 32.099998474121094]",2657,29:35.7,earthquake_local,109C.TA_20070723172934_EV
TA,109C,BH,32.8889,-117.1051,150,400,manual,0.62,11.9,1267,manual,0.58,ci10265513,39:28.3,nan,33.0936667,-116.3711667,0.25,41,0.35,12.72,0.79,1.65,ml,CI,,0.6497,72.26,71.8,"[10.5, 12.199999809265137, 12.100000381469727]",3199,39:36.2,earthquake_local,109C.TA_20070725023935_EV
TA,109C,BH,32.8889,-117.1051,150,800,manual,0.53,17.67,2068,manual,0.53,ci10266685,54:59.8,nan,32.697,-115.9541667,0.22,103,0.32,5.4,1.68,1.65,ml,CI,,0.9881,109.89,101.5,"[17.200000762939453, 18.0, 12.100000381469727]",2979,55:09.5,earthquake_local,109C.TA_20070728015508_EV
